Summary of the spectum NH3_Line_2928_nm: 
	 lower: 2927.5 [nm] 
	 upper: 2929 [nm] 
Gas cell 2: 
	 length: 200 cm | temp: 296 K|pressure: 1 atm|diluent: {'air': 1} 
	 Gasses: 
	 	 H2O: 0.01 

 wavelenth [nm] 	 absorption
2927.5393696716683	0.00026709715060235784
2927.5479401835196	0.00028937066231649045
2927.5565107455523	0.00031478319003064303
2927.565081357767	0.0003439967355043372
2927.5736520201635	0.00037786600952138816
2927.582222732743	0.0004175109123356613
2927.5907934955053	0.0004644223189140817
2927.5993643084516	0.0005206187451989308
2927.6079351715816	0.0005888811014103101
2927.616506084896	0.0006731063620308841
2927.625077048395	0.0007788360060954069
2927.63364806208	0.0009140148101223211
2927.64221912595	0.0010899519757399112
2927.6507902400062	0.001322047948716376
2927.659361404249	0.0016284302882260127
2927.667932618679	0.0020210871969311706
2927.6765038832964	0.0024790969950473363
2927.685075198102	0.0029072229178132014
2927.6936465630956	0.0031479144598609565
2927.7022179782784	0.0031217300253472136
2927.71078944365	0.0029309445760767883
2927.719360959212	0.0027459480000545655
2927.7279325249633	0.002672164669990429
2927.7365041409057	0.002746723237424087
2927.745075807039	0.002974587584405608
2927.7536475233637	0.003329781787317021
2927.7622192898807	0.003754074748806513
2927.770791106589	0.0042229134398520385
2927.779362973491	0.004769354097218237
2927.787934890586	0.005380659822839862
2927.7965068578746	0.005939943596719122
2927.805078875357	0.006264715978632207
2927.8136509430346	0.006212495945765117
2927.8222230609067	0.005781442153820704
2927.8307952289742	0.005102740237174275
2927.8393674472377	0.004344587208984452
2927.8479397156975	0.0036284381317831516
2927.856512034354	0.0030099775384674343
2927.865084403208	0.0025004306219319483
2927.873656822259	0.0020895526372556317
2927.882229291509	0.0017605488615288767
2927.8908018109564	0.0014968104783725789
2927.8993743806036	0.0012842283988568903
2927.9079470004494	0.0011115599094265738
2927.9165196704957	0.0009700968763403095
2927.925092390742	0.0008531686850816733
2927.9336651611893	0.0007556755367665868
2927.9422379818375	0.0006737067449044121
2927.9508108526875	0.00060424615486665
2927.9593837737393	0.0005449507092694095
2927.9679567449934	0.0004939858192820612
2927.9765297664508	0.0004499033127612906
2927.9851028381113	0.00041155078381149846
2927.993675959976	0.00037800396281451043
2928.002249132044	0.0003485159577061303
2928.010822354318	0.00032247889735403934
2928.0193956267963	0.0002993947379290596
2928.0279689494805	0.00027885288157869503
2928.03654232237	0.0002605128954821234
2928.045115745467	0.00024409107828937682
2928.05368921877	0.0002293499517094233
2928.062262742281	0.00021608999405586804
2928.0708363159993	0.0002041431065343824
2928.079409939926	0.0001933674303559174
2928.087983614061	0.0001836432277856348
2928.0965573384055	0.0001748696113824666
2928.1051311129595	0.00016696195928678215
2928.1137049377235	0.000159849893612396
2928.1222788126975	0.00015347572862711711
2928.130852737883	0.0001477933184157454
2928.1394267132796	0.0001427672653653289
2928.1480007388877	0.00013837249675952012
2928.156574814708	0.00013459422767581053
2928.165148940741	0.0001314282297106839
2928.1737231169873	0.00012888129270083315
2928.182297343447	0.0001269719263382596
2928.1908716201206	0.00012573136548210684
2928.199445947008	0.00012520475611332849
2928.208020324111	0.00012545221854864952
2928.216594751429	0.00012654922680699343
2928.225169228963	0.00012858518896097237
2928.2337437567126	0.00013165799102921039
2928.242318334679	0.0001358601110486024
2928.2508929628625	0.0001412479761466745
2928.259467641263	0.0001477830901359667
2928.268042369882	0.00015523421980223606
2928.2766171487197	0.00016307044409458182
2928.2851919777754	0.0001704486074638467
2928.2937668570507	0.00017639542936076502
2928.3023417865456	0.00018006482634713716
2928.3109167662606	0.00018086133649786174
2928.319491796196	0.00017848446599522116
2928.3280668763528	0.00017303394621959178
2928.336642006731	0.00016504603117539762
2928.345217187331	0.00015535342884698267
2928.3537924181533	0.00014485615849446631
2928.3623676991983	0.00013432083437470155
2928.3709430304666	0.0001242873257263355
2928.379518411958	0.00011506976465758267
2928.3880938436746	0.00010680615981462083
2928.3966693256148	9.951800233887198e-05
2928.4052448577804	9.316018899518941e-05
2928.413820440171	8.765598565396715e-05
2928.422396072788	8.291874853882941e-05
2928.4309717556307	7.886411723734277e-05
2928.4395474887006	7.541610497874274e-05
2928.4481232719977	7.250958159377152e-05
2928.456699105522	7.009074669361848e-05
2928.465274989275	6.811651066862545e-05
2928.473850923256	6.655323121218526e-05
2928.482426907466	6.537493549474416e-05
2928.4910029419057	6.456094004014812e-05
2928.499579026575	6.409264797657688e-05
2928.5081551614744	6.394782931729015e-05
2928.5167313466045	6.410157046687903e-05
2928.525307581966	6.451239848115353e-05
2928.533883867559	6.512638948930061e-05
2928.542460203384	6.587972632909889e-05
2928.551036589442	6.671067551033971e-05
2928.5596130257322	6.757694008630022e-05
2928.568189512256	6.847222904782235e-05
2928.5767660490137	6.943056271158099e-05
2928.5853426360054	7.05419332104329e-05
2928.5939192732317	7.191146292884198e-05
2928.602495960694	7.366072890524489e-05
2928.6110726983907	7.590838513160669e-05
2928.6196494863243	7.876105124460242e-05
2928.6282263244934	8.230829386790539e-05
2928.6368032129003	8.66177321657835e-05
2928.645380151544	9.17260023437505e-05
2928.653957140426	9.762218246656129e-05
2928.662534179545	0.00010422193629999743
2928.671111268904	0.00011133380652239566
2928.6796884085015	0.00011862502728798852
2928.688265598339	0.00012560310322651258
2928.6968428384157	0.00013163755033651636
2928.7054201287333	0.00013604410063161598
2928.713997469292	0.0001382305052328725
2928.7225748600918	0.0001378616201180849
2928.7311523011326	0.0001349703116803047
2928.7397297924167	0.00012995606276755556
2928.748307333943	0.00012347467985207583
2928.7568849257123	0.00011628209076941509
2928.765462567725	0.00010910718364298688
2928.7740402599816	0.00010259648375099406
2928.782618002483	9.733362723696182e-05
2928.7911957952288	9.390460445979354e-05
2928.7997736382204	9.29467465821121e-05
2928.808351531457	9.494567606394e-05
2928.8169294749405	9.922732467071427e-05
2928.82550746867	0.00010215230997079328
2928.834085512647	9.839149962342919e-05
2928.842663606871	8.755236791602172e-05
2928.8512417513434	7.468775760544055e-05
2928.859819946064	6.362775206214533e-05
2928.8683981910335	5.5154984233585225e-05
2928.876976486252	4.878680110087519e-05
2928.88555483172	4.391251040514188e-05
2928.8941332274385	4.0075596876909536e-05
2928.902711673408	3.6969439190959186e-05
2928.9112901696276	3.439288503470639e-05
2928.9198687160992	3.221171014455848e-05
2928.9284473128223	3.03338490630356e-05
2928.937025959798	2.8694175642107744e-05
