Summary of the spectum NH3_linien: 
	 lower: 2924.0 [nm] 
	 upper: 2933.0 [nm] 
Gas cell 1: 
	 length: 100 cm | temp: 296 K|pressure: 1 atm|gas matrix: {'air': 0.99, 'self': 0.01} 
	 Gasses (VMR): 
	 	 H2O: 0.01 

 wavelenth [nm] 	 absorption
2924.020282961437	0.04816652885883499
2924.0219929413597	0.048288580354712285
2924.023702923283	0.048363493171466154
2924.025412907206	0.04838986733524775
2924.0271228931288	0.04836807488653683
2924.0288328810525	0.04829780588453225
2924.0305428709753	0.048180514222059156
2924.0322528628985	0.048016447638905224
2924.0339628568217	0.0478066220566854
2924.035672852745	0.047552309406801774
2924.037382850668	0.04725501953670175
2924.0390928505913	0.046916479191063676
2924.0408028525144	0.046538608595844466
2924.042512856438	0.046123496212717274
2924.0442228623615	0.04567337224996293
2924.045932870285	0.045190581513804506
2924.0476428802085	0.044677556164016585
2924.049352892132	0.04413678889771799
2924.051062906056	0.04357080703781402
2924.0527729219793	0.04298214793700639
2924.054482939903	0.04237333604186344
2924.056192959827	0.04174686188840582
2924.057902981751	0.04110516322801294
2924.059613005675	0.040450608412020306
2924.061323031599	0.039785482097515534
2924.0630330595236	0.039111973277193623
2924.064743089448	0.03843216558528684
2924.0664531213724	0.037748029784753334
2924.0681631552966	0.03706141831122067
2924.069873191221	0.03637406171720359
2924.0715832291457	0.03568756684467567
2924.0732932690707	0.035003416541650956
2924.0750033109957	0.034322970733656755
2924.0767133549207	0.033647468661560986
2924.078423400846	0.032978032102163324
2924.0801334487714	0.03231566939770614
2924.081843498697	0.03166128012862801
2924.0835535506226	0.03101566028243008
2924.085263604548	0.030379507780568527
2924.0869736604736	0.02975342824339433
2924.0886837184	0.02913794088703814
2924.090393778326	0.028533484460857905
2924.092103840252	0.027940423147971405
2924.0938139041787	0.02735905236439018
2924.095523970105	0.02678960440410738
2924.097234038032	0.02623225388921968
2924.098944107959	0.0256871229911243
2924.100654179886	0.02515428640187134
2924.102364253813	0.024633776037603305
2924.1040743297403	0.024125585465080368
2924.105784407668	0.023629674046723337
2924.107494487596	0.023145970804183902
2924.1092045695236	0.02267437800408445
2924.1109146534523	0.022214774472378185
2924.1126247393804	0.021767018647052994
2924.114334827309	0.021330951455285407
2924.1160449172376	0.0209063985607022
2924.1177550091666	0.020493173166469036
2924.1194651030955	0.020091077819558767
2924.121175199025	0.019699906406478118
2924.1228852969543	0.01931944588293877
2924.124595396884	0.018949477829139694
2924.1263054988144	0.01858977984352772
2924.1280156027447	0.0182401267873904
2924.1297257086753	0.01790029189266984
2924.131435816606	0.017570047743155737
2924.1331459265366	0.01724916714138236
2924.1348560384677	0.016937423870135748
2924.136566152399	0.01663459335852213
2924.1382762683306	0.01634045326134803
2924.1399863862625	0.016054783960023022
2924.1416965061944	0.015777368992590968
2924.1434066281267	0.015507995419911436
2924.14511675206	0.015246454134400289
2924.1468268779927	0.014992540117619413
2924.148537005926	0.014746052651271158
2924.1502471358594	0.014506795487754687
2924.151957267793	0.014274576983927645
2924.153667401727	0.014049210202556006
2924.155377537661	0.013830512985144261
2924.1570876755954	0.013618307999544443
2924.1587978155303	0.013412422765419985
2924.160507957466	0.013212689660300092
2924.1622181014013	0.013018945909001323
2924.163928247337	0.012831033557996974
2924.1656383952727	0.012648799437669278
2924.1673485452093	0.01247209511358438
2924.169058697146	0.012300776828692905
2924.1707688510824	0.012134705437872317
2924.17247900702	0.011973746336110369
2924.174189164957	0.011817769381492593
2924.175899324895	0.011666648814024239
2924.1776094868337	0.011520263171170053
2924.179319650772	0.011378495201121108
2924.181029816711	0.011241231774007598
2924.18273998465	0.01110836379235558
2924.1844501545897	0.010979786100841049
2924.1861603265293	0.010855397396027366
2924.1878705004697	0.010735100136480158
2924.18958067641	0.01061880045362551
2924.191290854351	0.010506408063675421
2924.1930010342926	0.01039783618086898
2924.1947112162343	0.010293001432415072
2924.1964214001764	0.010191823774968745
2924.1981315861185	0.010094226413307261
2924.199841774061	0.0100001357209758
2924.2015519640045	0.009909481163172473
2924.203262155948	0.00982219522194494
2924.2049723498917	0.009738213323777556
2924.206682545836	0.009657473770224634
2924.20839274378	0.00957991766808619
2924.210102943726	0.00950548886799818
2924.2118131456714	0.009434133899219987
2924.213523349617	0.009365801912678218
2924.2152335555634	0.009300444620275572
2924.21694376351	0.009238016242630764
2924.2186539734566	0.009178473456436853
2924.2203641854044	0.009121775344979044
2924.222074399352	0.009067883351201456
2924.2237846153002	0.009016761233304194
2924.225494833249	0.008968375022845976
2924.2272050531983	0.008922692985320668
2924.2289152751478	0.008879685583238484
2924.230625499098	0.008839325441530987
2924.2323357250484	0.008801587315455217
2924.234045952999	0.008766448060809728
2924.2357561829504	0.008733886606491992
2924.237466414902	0.008703883929352951
2924.2391766488545	0.008676423031313885
2924.240886884807	0.008651488918710704
2924.2425971227603	0.008629068583823729
2924.244307362714	0.008609150988585612
2924.246017604668	0.008591727050354048
2924.2477278486226	0.008576789629812342
2924.2494380945777	0.008564333520878598
2924.251148342533	0.00855435544261507
2924.252858592489	0.008546854033087192
2924.254568844445	0.008541829845126858
2924.256279098402	0.008539285343953651
2924.2579893543593	0.008539224906601195
2924.259699612318	0.0085416548230971
2924.261409872276	0.008546583299333665
2924.263120134235	0.008554020461577272
2924.2648303981946	0.008563978362538638
2924.266540664154	0.00857647098893688
2924.268250932115	0.008591514270476996
2924.2699612020756	0.00860912609015363
2924.271671474037	0.008629326295784612
2924.273381747999	0.0086521367126704
2924.275092023962	0.008677581157269243
2924.276802301925	0.008705685451722123
