Summary of the spectum NH3_linien: 
	 lower: 2924 [nm] 
	 upper: 2930 [nm] 
Gas cell 0: 
	 length: 100 cm | temp: 296 K|pressure: 1 atm|gas matrix: {'air': 0.9998, 'self': 0.0002} 
	 Gasses (VMR): 
	 	 NH3: 0.0002 

 wavelenth [nm] 	 absorption
2924.001160155841	0.0003527810881354121
2924.0028701133974	0.0003572465507583056
2924.0045800729545	0.00036180096107230053
2924.006290034511	0.000366446635897022
2924.007999998068	0.00037118596374574597
2924.009709963625	0.0003760214072772161
2924.011419931182	0.00038095550582695203
2924.0131299007385	0.00038599087803836696
2924.0148398722954	0.00039113022457371027
2924.016549845852	0.0003963763309253743
2924.0182598214087	0.00040173207032234703
2924.0199697989656	0.0004072004067360302
2924.021679778522	0.0004127843979889745
2924.0233897600788	0.0004184871989681982
2924.0250997436356	0.00042431206494619733
2924.026809729193	0.0004302623550133111
2924.0285197167495	0.0004363415356152256
2924.0302297063063	0.00044255318421881906
2924.031939697863	0.000448900993080259
2924.03364969142	0.0004553887731366668
2924.035359686977	0.0004620204580152443
2924.037069684534	0.00046880010816063855
2924.038779684091	0.0004757319150808792
2924.0404896856476	0.00048282020570977746
2924.0421996892046	0.0004900694468851219
2924.0439096947625	0.0004974842499407828
2924.0456197023195	0.0005050693753979596
2924.0473297118765	0.0005128297377771096
2924.049039723434	0.0005207704104875921
2924.0507497369913	0.0005288966308146792
2924.0524597525487	0.0005372138049801745
2924.054169770106	0.0005457275132699779
2924.055879789664	0.0005544435152110561
2924.0575898112215	0.0005633677547821625
2924.0592998347793	0.0005725063656423224
2924.0610098603374	0.000581865676341109
2924.062719887895	0.0005914522155167079
2924.0644299174533	0.0006012727170149335
2924.0661399490114	0.000611334124923979
2924.0678499825694	0.0006216435984822688
2924.0695600181275	0.00063220851681689
2924.071270055686	0.0006430364834730806
2924.0729800952445	0.0006541353306818154
2924.074690136803	0.0006655131233141987
2924.0764001803623	0.0006771781624624884
2924.078110225921	0.0006891389885663735
2924.07982027348	0.000701404384049642
2924.0815303230393	0.0007139833753309066
2924.083240374598	0.0007268852341586474
2924.0849504281578	0.0007401194781524456
2924.086660483717	0.0007536958704422725
2924.0883705412766	0.0007676325640605386
2924.0900806008367	0.0007819235226553811
2924.0917906623968	0.0007965873721818006
2924.093500725957	0.0008116348315561073
2924.0952107915173	0.0008270768450883148
2924.0969208590777	0.0008429245736156776
2924.098630928638	0.0008591893835784292
2924.100341000199	0.0008758828337798175
2924.10205107376	0.0008930166595747524
2924.1037611493207	0.0009106027542070683
2924.105471226882	0.0009286531469920867
2924.1071813064436	0.0009471799780158552
2924.1088913880053	0.0009661954690058927
2924.1106014715674	0.0009857118899695427
2924.112311557129	0.001005741521264647
2924.1140216446915	0.001026296610591837
2924.1157317342536	0.001047389324524417
2924.1174418258165	0.0010690316940800138
2924.119151919379	0.001091235553849823
2924.1208620149423	0.0011140124741800816
2924.122572112505	0.0011373736858877326
2924.124282212069	0.00116132999698626
2924.1259923136327	0.001185891700903663
2924.127702417197	0.0012110684756405643
2924.1294125227605	0.0012368692734558984
2924.131122630325	0.0012633022004974181
2924.1328327398896	0.001290374386036075
2924.134542851454	0.001318091840902369
2924.136252965019	0.0013464593048427842
2924.1379630805845	0.0013754800826023539
2924.13967319815	0.0014051558686655197
2924.141383317716	0.001435486560735555
2924.1430934392824	0.0014664700621618287
2924.1448035628487	0.0014981020738715767
2924.146513688415	0.0015303758763514086
2924.148223815982	0.0015632821027348198
2924.149933945549	0.0015968085041977442
2924.151644077116	0.0016309397092382216
2924.153354210684	0.0016656569787617537
2924.155064346252	0.0017009379592624052
2924.15677448382	0.0017367564367801736
2924.1584846233886	0.001773082094716938
2924.1601947649574	0.0018098802789224822
2924.1619049085266	0.001847111774011756
