 61 3065.708019 3.141E-25 4.161E-02.04700.099 1596.72600.75-.006131    0 2 0 1 1F1    0 0 0 1 1F2    7A2 25         7A1  2     332333332329 1 1 1    75.0   75.0
 61 3065.714308 8.231E-27 7.282E-04.04500.060 1594.34470.61-.006100    0 1 0 1 1F1    0 0 0 0 1A1   18F1 46        17F2  4     334332403638 7 1 7   111.0  105.0
 61 3065.725800 4.305E-25 1.752E-01.03900.062 1693.10180.75-.006131    0 1 1 0 1F1    0 1 0 0 1E     6F1 75         5F2  6     332333332329 1 1 1    39.0   33.0
 61 3065.736543 8.348E-25 4.108E-03.04700.065  949.84140.62-.006100    1 0 0 0 1A1    0 0 0 0 1A1   14F2 45        13F1  1     334332453638 7 1 7    87.0   81.0
 61 3065.784568 8.689E-25 1.020E-01.04400.068 1437.32150.75-.006132    0 0 1 1 1F2    0 0 0 1 1F2    6F1 43         5F2  1     332333332329 1 1 1    39.0   33.0
 61 3065.843080 2.654E-25 2.864E-02.04700.094 1490.70480.75-.006132    0 2 0 1 2F2    0 0 0 1 1F2    5A2 21         5A1  1     332333332329 1 1 1    55.0   55.0
 61 3065.931787 3.201E-25 1.788E-01.03900.062 1875.64610.75-.006132    0 0 1 1 1F1    0 0 0 1 1F2   11F1 74        10F2  4     332333332329 1 1 1    69.0   63.0
 61 3065.951218 1.688E-28 3.463E-05.04500.059 1778.20460.60-.006100    0 1 0 1 1F1    0 0 0 0 1A1   19F1 48        18F2  1     234332403638 7 1 7   117.0  111.0
 61 3065.971966 1.202E-23 3.135E-03.06500.078  104.77990.72-.006100    0 2 0 0 1A1    0 0 0 0 1A1    4F1 18         4F2  1     344332453638 7 1 7    27.0   27.0
 61 3066.078621 5.450E-28 1.123E-04.04500.059 1779.03020.60-.006100    0 1 0 1 1F1    0 0 0 0 1A1   19F2 47        18F1  1     334332403638 7 1 7   117.0  111.0
 61 3066.092719 1.643E-23 6.429E-03.05600.078  104.77600.72-.006100    0 2 0 0 1A1    0 0 0 0 1A1    4E  13         4E   1     344332453638 7 1 7    18.0   18.0
